TAT_ID|KD_PLU|TGL_AWAL|TGL_AKHIR
2942/TAT/HO/10/2020|20022418|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20048641|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20048642|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20048643|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20085044|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20091823|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20091825|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20092898|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20092899|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20092904|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20095554|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20096821|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20100105|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20102652|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20103298|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20103299|08/10/2020|31/12/2020
2942/TAT/HO/10/2020|20103364|08/10/2020|31/12/2020
3078/TAT/HO/11/2020|20103254|05/11/2020|31/12/2020
3078/TAT/HO/11/2020|20103255|05/11/2020|31/12/2020
3078/TAT/HO/11/2020|20103256|05/11/2020|31/12/2020
3209/TAT/HO/12/2020|20099745|29/12/2020|05/01/2021
3167/TAT/HO/12/2020|20079902|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20080340|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20083859|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20084902|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20096065|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20096066|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20096560|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20096561|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20098702|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20100553|05/12/2020|31/12/2020
3167/TAT/HO/12/2020|20100554|05/12/2020|31/12/2020
3186/TAT/HO/12/2020|20078877|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20078878|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20078884|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20078886|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20078895|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20078900|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20082421|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20082422|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20082423|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20082424|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20085459|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20088555|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20090959|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091016|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091017|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091019|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091022|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091023|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091030|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091032|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091033|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091041|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091043|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091045|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20091046|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20094481|12/12/2020|05/01/2021
3186/TAT/HO/12/2020|20104106|12/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069607|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069608|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069664|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069690|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069691|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069776|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20069777|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080424|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080425|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080428|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080429|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080430|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080431|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080433|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080434|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080437|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080438|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080439|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20080440|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20082338|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20084978|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20084995|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20084996|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20085172|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20085198|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20085199|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20085259|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20085776|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20086837|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20086838|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20086839|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20088162|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20089872|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092503|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092876|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092877|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092878|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092879|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20092880|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20093051|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20093287|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20093337|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20094570|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20096765|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20098731|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20099544|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20099545|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20099546|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20100941|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20101056|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20101151|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20101811|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20101812|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102080|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102730|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102731|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102824|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102839|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20102840|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20103699|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20103700|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20105993|17/12/2020|05/01/2021
3191/TAT/HO/12/2020|20106233|17/12/2020|05/01/2021
3165/TAT/HO/12/2020|10003453|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20040893|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20040894|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20052038|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20054748|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20056050|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20056053|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20080431|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20093523|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20096808|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20102839|05/12/2020|31/12/2020
3165/TAT/HO/12/2020|20106981|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069607|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069608|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069664|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069690|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069691|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069776|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20069777|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080424|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080425|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080428|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080429|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080430|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080431|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080433|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080434|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080437|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080438|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080439|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20080440|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20082338|05/12/2020|31/12/2020
3166/TAT/HO/12/2020|20084978|05/12/2020|31/12/2020
