KDTK|NAMA|TGL30|TGL31|TGL01|TGL02|TOTAL
FDX8|SIGALINGGING/009|1|1|1||3 Hari
FTSU|MARDINDING/009|1|1|1||3 Hari
T1DL|TOKO EVENT MEDAN  DELI SE/009|1|1|1||3 Hari
T2XH|JAMIN GINTING NO. 11-12/009|1|1|1||3 Hari
T5XK|KL YOS SUDARSO SIM PANITE/009|1|1|1||3 Hari
T8NO|JAMIN GINTING KM 47  D.SE/009|1|1|1||3 Hari
T9Q0|KUALANAMU BOARDING LOUNGE/009|1|1|1||3 Hari
TDSB|CINTA DAMAI - MEDAN/009|1|1|1||3 Hari
TGYS|LINTAS TJ MORAWA/009|1|1|1||3 Hari
TI27|ISKANDAR MUDA BABUSSALAM/009|1|1|1||3 Hari
TJYK|MERDEKA TAPAK TUAN/009|1|1|1||3 Hari
TK7C|BANDARA SULTAN ISKANDAR M/009|1|1|1||3 Hari
TNMJ|I-MOBILE MEDAN/009|1|1|1||3 Hari
TOQX|PANTAI LABU SEKIP  D.SERD/009|1|1|1||3 Hari
TOR0|LINTAS TENGAH SUMATERA SE/009|1|1|1||3 Hari
TPHR|RAILINK MEDAN/009|1|1|1||3 Hari
TVO7|ISTANA MAIMUN MEDAN - MED/009|1|1|1||3 Hari
TVRI|KATAMSO KP. BARU/009|1|1|1||3 Hari
TWWA|BANDARA KUALANAMU/009|1|1|1||3 Hari
TYC5|KARYA JAYA SIMP EKA WARNI/009|1|1|1||3 Hari
FZ5S|SEI BULUH/009||1|1||2 Hari
T1OD|SPBU DISKI/009|1||1||2 Hari
TFGA|SM RAJA SIMP RINDAM/009||1|1||2 Hari
TTY3|TEMBUNG JATI LUHUR/009|1||1||2 Hari
TZ07|BUNGA MAWAR/009||1|1||2 Hari
F03O|TELKOM SETIA BUDI/009|||1||1 Hari
F06Z|RIA PANAS SIPOHOLON/009|||1||1 Hari
F0GE|PEMBANGUNAN PADANG BULAN/009|||1||1 Hari
F0TY|MERDEKA UJUNG DOLOK SANGG/009|||1||1 Hari
F15V|AHMAD YANI KUTACANE/009|||1||1 Hari
F1OE|KAPT. SUMARSONO NO. 74/009|||1||1 Hari
F1XH|RS MITRA MEDIKA/009|||1||1 Hari
F1YU|BANDAR DUA/009|||1||1 Hari
F2GX|ABDUL HAKIM/009|||1||1 Hari
F2WU|SOEKARNO HATTA 3/009|||1||1 Hari
F37N|T. NYAK ARIEF/009|||1||1 Hari
F3EZ|JAMIN GINTING KABANJAHE/009|||1||1 Hari
